id,user_id,nome_escola,proprietario,endereco_completo,numero,bairro,macroregiao,telefone_fixo,telefone_celular,created_at,updated_at,tipo_escola,email,alunos_creche,alunos_infantil,alunos_fundamental_i,alunos_fundamental_ii
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ANA MENDES DE OLIVEIRA CASTRO PAES EM,SME RIO PRETO,Avenida Feliciano Salles Cunha,2130,Gonzaga de Campos,Cidade da Criança,(17) 3231-7275,(17) 98165-0108,,,EMEI,ana.mendes@educacao.riopreto.sp.gov.br,104,104,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ANAZIA JOSÉ BOLCONE EM,SME RIO PRETO,Rua Arthur Roma,4037,Jardim Residencial Vetorasso,Cidade da Criança,(17) 3236-5738,(17) 98165-0053,,,EMEI,anazia@educacao.riopreto.sp.gov.br,178,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ANNA MANTOVANI DE ANDRADE PROFA EM,SME RIO PRETO,Rua José Dias Arroyo,205,Residencial Cidade Jardim,HB,(17) 98165-0215,(17) 98165-0215,,,EMEI,anna.mantovani@educacao.riopreto.sp.gov.br,55,118,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ANTÔNIO DE PÁDUA PEROSA DEP EM,SME RIO PRETO,Rua Antoninho da Rocha Marmo,S/Nº,Vila União,Pinheirinho,(17) 3219-8180,(17) 98165-0120,,,EMEI,antonio.padua@educacao.riopreto.sp.gov.br,121,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ANTÔNIO DE SOUZA EM,SME RIO PRETO,Rua Renato Pereira de Campos,2079,Residencial Caetano,Céu,(17) 3219-7680,(17) 98165-0131,,,EMEF,antonio.souza@educacao.riopreto.sp.gov.br,,,656,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ANTÔNIO ESPADA FILHO PROF DR EM,SME RIO PRETO,Avenida José da Silva Sé,500,Parque da Liberdade,Represa,(17) 3215-6883,(17) 98165-0519,,,EMEF,espada.filho@educacao.riopreto.sp.gov.br,,,525,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ANTONIO TEIXEIRA MARQUES EM,SME RIO PRETO,Rua Ararigboia,775,Vila Progresso,Central,(17) 3224-8719,(17) 98165-0307,,,EMEF,tema@educacao.riopreto.sp.gov.br,,,589,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,APARECIDA HOMSI DE SALLES CUNHA PROFA EM,SME RIO PRETO,Rua José Tebar,S/Nº,Jardim Antunes,Pinheirinho,(17) 3237-5881,(17) 98165-0138,,,EMEI,ap.homsi@educacao.riopreto.sp.gov.br,28,376,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ARLINDO DOS SANTOS DEP EM,SME RIO PRETO,Rua Major João Batista França,100,Vila Curti,Central,(17) 3232-8689,(17) 98165-0145,,,EMEF,arlindo.santos@educacao.riopreto.sp.gov.br,,,491,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,BEATRIZ DE CARVALHO SEIXAS EM,SME RIO PRETO,Rua José Domingues Neto,220,Vila Toninho,Vila Toninho,(17) 3238-1486,(17) 98165-0147,,,EMEI,beatriz.carvalho@educacao.riopreto.sp.gov.br,172,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,BOSQUE ENCANTADO EM,SME RIO PRETO,Rua Waldir Lacerda,140,Jardim do Bosque I,Bosque,(17) 3224-0616,(17) 98165-0701,,,EMEI,bosque@educacao.riopreto.sp.gov.br,,149,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CACHINHOS DE OURO EM - Unidade I,SME RIO PRETO,Rua Joaquim Mariano Seixas,351,Vila Diniz,Central,(17) 3234-4939,(17) 98165-0149,,,EMEI,cachinhos@educacao.riopreto.sp.gov.br,171,110,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CACHINHOS DE OURO EM - Unidade II,SME RIO PRETO,Rua Padre Anchieta,27,Vila Ercília,Central,(17) 3234-3525,NULL,,,EMEI,cachinhosii@educacao.riopreto.sp.gov.br,,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CAMINHEIROS DO ALEM EEI,SME RIO PRETO,Rua Prof. Dario de Jesus,235,Jardim Itapema,Central,(17) 3237-0345,17988030299,,,EMEI,caminheiros@educacao.riopreto.sp.gov.br,185,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CARLOS MILANESI ENG EM,SME RIO PRETO,Rua José Piedade,1980,Jardim Antonieta,Cidade da Criança,(17) 3237-5459,(17) 98165-0389,,,EMEI,carlos.milanesi@educacao.riopreto.sp.gov.br,145,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CARMEN NELITA ANSELMO VETTORAZZO PROFA EM,SME RIO PRETO,Estrada Municipal Valdomiro Lopes da Silva,S/Nº,Estância Bela Vista,Cidade da Criança,(17) 3217-1383,(17) 98165-0165,,,EMEF,carmen.nelita@educacao.riopreto.sp.gov.br,,,732,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CASTELO DO BOSQUE EM,SME RIO PRETO,Rua Bosque Municipal,201,Jardim Castelinho,Bosque,(17) 3224-8865,(17) 98165-0064,,,EMEI,castelo.bosque@educacao.riopreto.sp.gov.br,14,154,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CELESTE MARIA ALMEIDA GOUVEIA EM,SME RIO PRETO,Rua Aimores,510,Vila Anchirta,Bosque,(17) 3224-3646,(17) 98165-0376,,,EMEI,celeste@educacao.riopreto.sp.gov.br,197,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CELESTE MARIA ALMEIDA GOUVEIA EM -Unidade II,SME RIO PRETO,Rua Cila,3366,Vila Redentora,Central,(17) 98165-0835,(17) 98165-0835,,,EMEI,celeste.redentora@educacao.riopreto.sp.gov.br,,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CÉLIA HOMSI DE MELO PROFA EM,SME RIO PRETO,Rua Francisco Alves de Andrade,S/Nº,Jardim João Paulo II,Central,(17) 3224-1858,(17) 98165-0327,,,EMEI,celia.homsi@educacao.riopreto.sp.gov.br,82,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CENOBELINO DE BARROS SERRA DR EM,SME RIO PRETO,Avenida da Saudade,3719,Vila Ercília,nan,(17) 3234-7686,(17) 98165-0711,,,EMEF,cenobelino@educacao.riopreto.sp.gov.br,,,598,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CÉU ENCANTADO EM,SME RIO PRETO,Rua Cristóvão Colombo,160,Vila Maceno,Central,(17) 3224-1314,(17) 98165-0216,,,EMEI,ceu@educacao.riopreto.sp.gov.br,,98,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CHAFIC BALURA PROF EM,SME RIO PRETO,Rua Antonio Francisco Coutinho,S/Nº,Pq. Res. Dom Lafayete Libânio,Central,(17) 3217-1042,(17) 98165-0253,,,EMEI,chafic@educacao.riopreto.sp.gov.br,,249,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CHAPEUZINHO VERMELHO EM,SME RIO PRETO,Rua Independência,3621,Jardim Europa,Pinheirinho,(17) 3234-7192,(17) 98165-0569,,,EMEI,chapeuzinho@educacao.riopreto.sp.gov.br,62,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CINDERELA EM,SME RIO PRETO,Rua Oswaldo Aranha,279,Jardim Conceição,Central,(17) 3235-4589,(17) 98165-0528,,,EMEI,cinderela@educacao.riopreto.sp.gov.br,,98,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CLEOPHAS BELTRAN SILVENTE PROF EM,SME RIO PRETO,Rua João Gabriel,388,Jardim dos Gomes,Cidade da Criança,(17) 3238-8310,(17) 98165-0225,,,EMEF,cleophas@educacao.riopreto.sp.gov.br,,,389,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CLÓVIS SANFELICE PROF EM,SME RIO PRETO,Avenida São José do Rio Preto,4365,Solo Sagrado,Central,(17) 3236-2648,(17) 98165-0226,,,EMEI,clovis.sanfelice@educacao.riopreto.sp.gov.br,,243,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,CYRINO VAZ DE LIMA EM,SME RIO PRETO,Rua Reginaldo Perpétuo Raimundo Salgado,266,Parque Nova Esperança,Vila Toninho,(17) 3237-6139,(17) 98165-0245,,,EMEF,cyrino@educacao.riopreto.sp.gov.br,,,503,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,DAISY ROLLEMBERG TREFIGLIO PROFA EM,SME RIO PRETO,Rua Arthur Pagliusi Neto,250,Parque da Cidadania,Pinheirinho,(17) 3236-1181,(17) 98165-0422,,,EMEI,daisy@educacao.riopreto.sp.gov.br,,363,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,DARCY RIBEIRO EM,SME RIO PRETO,Rua Geraldo Barbosa de Oliveira,S/Nº,Jardim Santo Antônio,Céu,(17) 3236-7207,(17) 98165-0404,,,EMEF,darcy@educacao.riopreto.sp.gov.br,,,,832
,a90b0633-b4d5-46b8-929c-50d0dfee9934,DAUD JORGE SIMÃO PROF EM,SME RIO PRETO,Rua Doutor Argemiro Acayba de Toledo,80,Residencial Cidade Jardim,Céu,(17) 3227-7011,(17) 98165-0620,,,EMEF,daud@educacao.riopreto.sp.gov.br,,,319,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,DÉCIO MONZONI LANG EM,SME RIO PRETO,Avenida José da Silva Sé,400,Parque da Liberdade,Céu,(17) 3215-6340,(17) 98165-0789,,,EMEI,decio.lang@educacao.riopreto.sp.gov.br,135,168,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,DUNALVA DO AMARAL FARATH EM,SME RIO PRETO,Estrada Municipal José Domingues Netto (GPS),KM150,Estância Navarrete,HB,(17) 3216-5873,(17) 98165-0258,,,EMEI,dunalva.farath@educacao.riopreto.sp.gov.br,85,109,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,"DURED FAUAZ, DR. EM",SME RIO PRETO,Rua Manoel Ricardo,S/Nº,Bairro Luz da Esperança,nan,(17) 98165-0423,(17) 98165-0423,,,EMEI,dured@educacao.riopreto.sp.gov.br,112,98,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ELIZABETE CABALLERO PROFA EM,SME RIO PRETO,Rua José de Alencar,S/Nº,Vila Ercília,Represa,(17) 3222-2053,(17) 98165-0332,,,EMEI,e.caballero@educacao.riopreto.sp.gov.br,193,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ELIZABETE CABALLERO PROFA EM - Unidade II,SME RIO PRETO,Rua Marechal Deodoro da Fonseca,4038,Vila Santa Cruz,HB,(17) 3222-1779,(17) 98165-0332,,,EMEI,e.caballero@educacao.riopreto.sp.gov.br,,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ELVIRA DE GUZZI RIBEIRO PROFA EM,SME RIO PRETO,Avenida Antonio Buzzini,270,Res. São José do Rio Preto I,Central,(17) 3224-1269,(17) 98165-0577,,,EMEI,elvira.guzzi@educacao.riopreto.sp.gov.br,29,142,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,EURIDES GARCIA GARCIA EM,SME RIO PRETO,Rua Vinicius César Aguiar,nan,Parque Residencial da Solidariedade,Central,(17) 98165-0266,(17) 98165-0266,,,EMEI,eurides.garcia@educacao.riopreto.sp.gov.br,88,114,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,EZEQUIEL RAMOS PROF EM,SME RIO PRETO,Praça Carlos Gomes,938,Boa Vista,Bosque,(17) 3232-6811,(17) 98165-0399,,,EMEF,ezequiel.ramos@educacao.riopreto.sp.gov.br,,,595,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,FADA AZUL EM,SME RIO PRETO,Praça dos Jesuítas,79,Vila Anchieta,Bosque,(17) 3224-1333,(17) 98165-0837,,,EMEI,fada@educacao.riopreto.sp.gov.br,,94,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,FLAVIO FASANELLI RODRIGUES EM,SME RIO PRETO,Estrada Municipal José Domingues Netto (GPS),KM150,Estância Navarrete,Central,(17) 3216-5837,(17) 98165-0275,,,EMEF,flavio.fasanelli@educacao.riopreto.sp.gov.br,,,251,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,FLÁVIO SCRIGNOLI EM,SME RIO PRETO,Rua Maria Ceron Volpi,267,Vila Toninho,Central,(17) 98165-0298,(17) 98165-0298,,,EMEI,flavio.scrignoli@educacao.riopreto.sp.gov.br,84,64,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,FORMOSA EEI,SME RIO PRETO,Avenida Nelson da Veiga,100,Jardim do Bosque II,HB,(17) 3224-1011,NULL,,,EMEI,formosa@educacao.riopreto.sp.gov.br,163,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,FRANCISCO FELIPE CAPUTO PROF EM,SME RIO PRETO,Rua Professora Zulmira da Silva Salles,897,Parque Industrial,Vila Toninho,(17) 3212-1709,(17) 98165-0343,,,EMEF,felipe.caputo@educacao.riopreto.sp.gov.br,,,488,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,GEORGINA ATRA HAWILLA DONA JOTA EM,SME RIO PRETO,Rua Luiza Maria de Jesus,135,Duas Vendas G,Bosque,(17) 3236-3399,(17) 98165-0529,,,EMEI,g.hawilla@educacao.riopreto.sp.gov.br,82,50,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,GRÁCIA MARIA DA SILVA BORTOLETO EM,SME RIO PRETO,Rua São Sebastião,18,Distrito de Engenheiro Schmitt,Céu,(17) 3808-1144,(17) 98165-0755,,,EMEI,gracia.bortoleto@educacao.riopreto.sp.gov.br,93,44,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,GRÁCIA MARIA DA SILVA BORTOLETO EM - Unidade II,SME RIO PRETO,Rua São Bento,530,Distrito de Engenheiro Schmitt,Céu,(17) 3808-1175,(17) 98165-0755,,,EMEI,gracia.bortoletoii@educacao.riopreto.sp.gov.br,,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,GRACILIANO RAMOS EM,SME RIO PRETO,Rua Jackeline Freitas do Prado,500,Parque Residencial da Lealdade,Schmitt,(17) 3229-7604,(17) 98165-0452,,,EMEI,graciliano.ramos@educacao.riopreto.sp.gov.br,136,172,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,GUIOMAR MAIA PROFA EM,SME RIO PRETO,Rua Luzia da Costa Carvalho,S/Nº,São Deocleciano,Schmitt,(17) 3224-5849,(17) 98165-0589,,,EMEF,guiomar.maia@educacao.riopreto.sp.gov.br,,159,460,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,HALIM ATIQUE PROF DR EM,SME RIO PRETO,Rua Waldemiro Naffah,70,Jardim Belo Horizonte,Talhado,(17) 3237-3588,(17) 98165-0435,,,EMEF,halim.atique@educacao.riopreto.sp.gov.br,,,581,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,IEDA DE SEIXAS SOUZA EM,SME RIO PRETO,Rua Francisco Chicuta de Viveres,80,Parque das Amoras II,Represa,(17) 3238-1216,(17) 98165-0038,,,EMEF,ieda.souza@educacao.riopreto.sp.gov.br,,,475,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ILDA BARBOSA DOS SANTOS EM,SME RIO PRETO,Avenida Danilo Galeazzi,2617,Jardim Seyon,Cidade da Criança,(17) 3221-5118,(17) 98165-0210,,,EMEI,ilda.barbosa@educacao.riopreto.sp.gov.br,114,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,IRMÃ DULCE EM,SME RIO PRETO,Rua Ida Tagliavani Polachini,S/Nº,Jardim Santo Antônio,Schmitt,(17) 3217-4021,(17) 98165-0464,,,EMEI,irma.dulce@educacao.riopreto.sp.gov.br,232,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,IRMÃ ESTELITA EEI,SME RIO PRETO,Rua Antônio de Godoy,3637,Vila Redentora,Bosque,(17) 3235-2425,NULL,,,EMEI,estelita@educacao.riopreto.sp.gov.br,171,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,IRMÃ IZALTINA MARIA EEI,SME RIO PRETO,Rua Izaías Luciano da Silva,291,Caic II,Céu,(17) 3238-5299,NULL,,,EMEI,izaltina@educacao.riopreto.sp.gov.br,148,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,IRMÃ JULIETA EEI,SME RIO PRETO,Rua Olavo Guimarães Correa,860,Parque Estoril,Central,(17) 3226-6388,NULL,,,EMEI,julieta@educacao.riopreto.sp.gov.br,228,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,IRMÃ MARTHA MARIA EM,SME RIO PRETO,Rua Marechal Eurico Gaspar Dutra,605,Solo Sagrado,Vila Toninho,(17) 3236-4778,(17) 98165-0305,,,EMEI,martha@educacao.riopreto.sp.gov.br,260,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ISRAEL CESTARI EM,SME RIO PRETO,Rua Irlan Leite de Abreu,251,Residencial da Fraternidade 2,HB,(17) 99654-8666,(17) 98165-0728,,,EMEI,israelcestari@educacao.riopreto.sp.gov.br,107,152,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JACY SALLES DA SILVA PROFA EM,SME RIO PRETO,Rua Joaquim Pereira Garcia,1080,Jardim João Paulo II,Pinheirinho,(17) 3225-2917,(17) 98165-0702,,,EMEI,jacy.salles@educacao.riopreto.sp.gov.br,,166,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JANDIRA CAETANO RIBEIRO EM,SME RIO PRETO,Estrada Municipal Valdomiro Lopes da Silva,S/Nº,Estância Bela Vista,Schmitt,(17) 3236-5879,(17) 98165-0315,,,EMEI,jandira.caetano@educacao.riopreto.sp.gov.br,173,329,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JOANA CASAGRANDE VINHA EM,SME RIO PRETO,Rua Joaquim Rodrigues Junior,S/Nº,Distrito de Talhado,Bosque,(17) 3829-6258,(17) 98165-0316,,,EMEIF,joana.casagrande@educacao.riopreto.sp.gov.br,59,54,149,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JOÃO JORGE SABINO DR EM,SME RIO PRETO,Rua Maria Elias Cury,S/Nº,Parque Estoril,Pinheirinho,(17) 3227-6721,(17) 98165-0821,,,EMEF,jorge.sabino@educacao.riopreto.sp.gov.br,,,541,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JOÃO JOSÉ FÉRIS PROF EM,SME RIO PRETO,Rua Maria Ceron Volpe,751,Vila Toninho,Talhado,(17) 3238-1221,(17) 98165-0856,,,EMEF,joao.feris@educacao.riopreto.sp.gov.br,,,449,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JOÃOZINHO E MARIA EM,SME RIO PRETO,Rua Belmonte,967,Vila Ipiranga,HB,(17) 3224-2385,(17) 98165-0492,,,EMEI,joaozinhomaria@educacao.riopreto.sp.gov.br,,105,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JOSÉ BARBAR CURY DR EM,SME RIO PRETO,Avenida Jamil Feres Kfuri,405,São Manoel,Vila Toninho,(17) 3227-5099,(17) 98165-0593,,,EMEI,barbar.cury@educacao.riopreto.sp.gov.br,56,75,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JOSÉ JOAQUIM GONCALVES DOM EM,SME RIO PRETO,Rua General Osório,555,Parque Industrial,Central,(17) 3231-1469,(17) 98165-0727,,,EMEI,joaquim.goncalves@educacao.riopreto.sp.gov.br,162,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JOSÉ MARIA ROLLEMBERG SAMPAIO DR EM,SME RIO PRETO,Rua Hermógenes de Faria,4157,Vila São Jorge,HB,(17) 3236-4722,(17) 98165-0328,,,EMEIF,maria.rollemberg@educacao.riopreto.sp.gov.br,,,264,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,"JOSÉ RENATO PEREIRA BRITO, DR. EM",SME RIO PRETO,Rua João Batista Sonagle,100,Parque das Perdizes,Cidade da Criança,(17) 3237-0847,(17) 98165-0438,,,EMEI,jose.renato@educacao.riopreto.sp.gov.br,,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,JÚLIO DE FARIA E SOUZA JUNIOR PROF EM,SME RIO PRETO,Rua Edson Pupin,751,Jardim Santo Antônio,Central,(17) 3236-5037,(17) 98165-0425,,,EMEI,faria.souza@educacao.riopreto.sp.gov.br,,399,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LAERTE TEIXEIRA DA COSTA PROF EM,SME RIO PRETO,Rua Bait Chalela,170,Jardim Bordon,Céu,(17) 3225-4040,(17) 98165-0334,,,EMEI,laerte.teixeira@educacao.riopreto.sp.gov.br,32,146,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LETÍCIA DI LORENZO ARROYO EM,SME RIO PRETO,Rua Marcelo Alessandro Cavallini,486,Parque Nova Esperança,Céu,(17) 3219-7860,(17) 98165-0485,,,EMEI,leticia.arroyo@educacao.riopreto.sp.gov.br,242,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LOTF JOÃO BASSITT DR EM,SME RIO PRETO,Rua Felício Scaff,S/Nº,São Deocleciano,Central,(17) 3224-0967,(17) 98165-0622,,,EMEI,joao.bassit@educacao.riopreto.sp.gov.br,309,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LOURIVAL PIRES FRAGA EM,SME RIO PRETO,Rua José Purcino,71,Luz da Esperança,Céu,(17) 3213-2124,(17) 98165-0344,,,EMEF,lourival.fraga@educacao.riopreto.sp.gov.br,,,88,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LUCI APARECIDA ZAINUM HAGE EM,SME RIO PRETO,Rua José Del Campo,1100,Jardim Viena,Represa,(17) 3227-9768,(17) 98165-0457,,,EMEI,luci.aparecida@educacao.riopreto.sp.gov.br,142,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LUIZ ANTONIO FLEURY FILHO EM,SME RIO PRETO,Rua Rosa Antônia da Silva Azevedo,201,Egydio Zani,nan,(17) 98165-0220,(17) 98165-0220,,,EMEF,fleury.filho@educacao.riopreto.sp.gov.br,,,286,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LUIZ JACOB EM,SME RIO PRETO,Rua Gumercindo de Oliveira Barros,919,São Francisco,Represa,(17) 3227-2418,(17) 98165-0353,,,EMEF,luiz.jacob@educacao.riopreto.sp.gov.br,,,169,47
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LUZIA APARECIDA PENHA DOS SANTOS EM,SME RIO PRETO,Rua General Osório,2170,Jardim Canaã,HB,(17) 3234-7621,(17) 98165-0544,,,EMEI,luzia.santos@educacao.riopreto.sp.gov.br,,86,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,LYDIA SANFELICE PROFA EM,SME RIO PRETO,Rua Luciano Liso,370,Jardim Bela Vista,HB,(17) 3224-3690,(17) 98165-0360,,,EMEF,lydia.sanfelice@educacao.riopreto.sp.gov.br,,,708,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,MANOEL ANTUNES PROF EM,SME RIO PRETO,Avenida Beatriz da Conceição,470,Solo Sagrado,Central,(17) 3236-1738,(17) 98165-0372,,,EMEI,manoel.antunes@educacao.riopreto.sp.gov.br,12,175,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,MÁRCIA AFFINI BAGDASARYAN EEI,SME RIO PRETO,Rua Beraldo Prata,555,Cristo Rei,Central,(17) 3238-5366,NULL,,,EMEI,marcia.affini@educacao.riopreto.sp.gov.br,113,,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,MARIA EMMELINA ROQUETTE VERDI EM,SME RIO PRETO,Rua Antonio Severo dos Santos,878,Jardim Campo Belo,Pinheirinho,(17) 98165-0458,(17) 98165-0458,,,EMEF,maria.emmelina@educacao.riopreto.sp.gov.br,,,434,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,MARIA FARIA DE VASCONCELOS PROFA EM,SME RIO PRETO,Rua Felipe Abrão Maluf,600,Jardim Ouro Verde,Vila Toninho,(17) 3226-2788,(17) 98165-0695,,,EMEI,faria.vasconcelos@educacao.riopreto.sp.gov.br,39,135,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,MARIA INÊS ARNAL EEI,SME RIO PRETO,Avenida Danilo Galeazzi,2835,Jardim João Paulo II,Pinheirinho,(17) 3225-5375,NULL,,,EMEI,maria.arnal@educacao.riopreto.sp.gov.br,273,,,
